pattern,target,action,category,status,n_owner_names,source,notes
D3 REAL ESTATE CONSULTANTS,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
"GILL, DENSON & COMPANY",name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
L L CASEY & CO,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
^US$,name,blank_value,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
KE ANDREWS,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
COMMERCIAL,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
UNAVAILABLE,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
FBO,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
EQUITY TRUST COMPANY,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
TAX EXEMPT,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
NONE,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
00000,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
UNKNOWN,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
OWNER,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
ADDRESS,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
CUSTODIAN,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
UNKNOWN CITY,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
UNKNOWN STATE,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
ZIP,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
PROPERTY TAX DEPARTMENT,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
ATTN,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
AVAILABLE UPON REQUEST,name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
"MICHEL ROGERS & MALONEY, PC",name,remove_substring,misc_name,active,,reg_agent_string_gen misc_name_string,"moved out of source, behaviour unchanged"
815 BRAZOS.+AUSTIN TX 78701,address,remove_substring,misc_address,active,,reg_agent_string_gen misc_add_string,"moved out of source, behaviour unchanged"
2595 DALLAS PKWY.+FRISCO TX 75034,address,remove_substring,misc_address,active,,reg_agent_string_gen misc_add_string,"moved out of source, behaviour unchanged"
401 TOM LANDRY HWY.+DALLAS TX 75266,address,remove_substring,misc_address,active,,reg_agent_string_gen misc_add_string,"moved out of source, behaviour unchanged"
PO BOX 4090 SCOTTSDALE AZ 85261,address,remove_substring,misc_address,active,,reg_agent_string_gen misc_add_string,"moved out of source, behaviour unchanged"
PO BOX 592226 SAN ANTONIO TX 78259,address,remove_substring,misc_address,active,,reg_agent_string_gen misc_add_string,"moved out of source, behaviour unchanged"
901.+MOPAC.+AUSTIN TX 78746,address,remove_substring,misc_address,active,,reg_agent_string_gen misc_add_string,"moved out of source, behaviour unchanged"
901.+MO PAC.+AUSTIN TX 78746,address,remove_substring,misc_address,active,,reg_agent_string_gen misc_add_string,"moved out of source, behaviour unchanged"
3225 MCLEOD DR.+LAS VEGAS NV 89121,address,remove_substring,misc_address,active,,reg_agent_string_gen misc_add_string,"moved out of source, behaviour unchanged"
17350 STATE H.+HOUSTON TX 77064,address,remove_substring,misc_address,active,,reg_agent_string_gen misc_add_string,"moved out of source, behaviour unchanged"
.*PO BOX 15410.+78212.*,address,remove_substring,hub_address,active,226,blocklist_candidates_v2,shared by 226 owner names; selected_by=land-trust-majority
.*2520 K AVE.+75074.*,address,remove_substring,hub_address,active,136,blocklist_candidates_v2,shared by 136 owner names; selected_by=low-coverage
.*5900 BALCONES DR.+78731.*,address,remove_substring,hub_address,active,99,blocklist_candidates_v2,shared by 99 owner names; selected_by=low-coverage
.*PO BOX 171174.+78217.*,address,remove_substring,hub_address,active,91,blocklist_candidates_v2,shared by 91 owner names; selected_by=low-coverage
.*PO BOX 769346.+78245.*,address,remove_substring,hub_address,active,81,blocklist_candidates_v2,shared by 81 owner names; selected_by=land-trust-majority
.*3839 BEE CAVES RD.+78746.*,address,remove_substring,hub_address,active,59,blocklist_candidates_v2,shared by 59 owner names; selected_by=low-coverage
.*19141 STONE OAK PKWY.+78258.*,address,remove_substring,hub_address,active,57,blocklist_candidates_v2,shared by 57 owner names; selected_by=low-coverage
.*15900 LA CANTERA PKWY.+78256.*,address,remove_substring,hub_address,active,49,blocklist_candidates_v2,shared by 49 owner names; selected_by=low-coverage
.*1900 SCOFIELD RIDGE PKWY.+78727.*,address,remove_substring,hub_address,active,48,blocklist_candidates_v2,shared by 48 owner names; selected_by=low-coverage
.*PO BOX 891.+19899.*,address,remove_substring,hub_address,active,46,blocklist_candidates_v2,shared by 46 owner names; selected_by=low-coverage
.*3939 BEE CAVES RD.+78746.*,address,remove_substring,hub_address,active,45,blocklist_candidates_v2,shared by 45 owner names; selected_by=low-coverage
.*112 E PECAN ST.+78205.*,address,remove_substring,hub_address,active,44,blocklist_candidates_v2,shared by 44 owner names; selected_by=low-coverage
.*30 N GOULD ST.+82801.*,address,remove_substring,hub_address,active,42,blocklist_candidates_v2,shared by 42 owner names; selected_by=low-coverage
.*5301 SW PKWY.+78735.*,address,remove_substring,hub_address,active,39,blocklist_candidates_v2,shared by 39 owner names; selected_by=low-coverage
.*13501 RR.+78676.*,address,remove_substring,hub_address,active,38,blocklist_candidates_v2,shared by 38 owner names; selected_by=low-coverage
.*1308 E COMMON ST.+78130.*,address,remove_substring,hub_address,active,35,blocklist_candidates_v2,shared by 35 owner names; selected_by=low-coverage
.*130 S SEGUIN AVE.+78130.*,address,remove_substring,hub_address,active,35,blocklist_candidates_v2,shared by 35 owner names; selected_by=low-coverage
.*PO BOX 395.+78011.*,address,remove_substring,hub_address,active,34,blocklist_candidates_v2,shared by 34 owner names; selected_by=low-coverage
.*3839 BEE CAVE RD.+78746.*,address,remove_substring,hub_address,active,32,blocklist_candidates_v2,shared by 32 owner names; selected_by=low-coverage
.*3939 BEE CAVE RD.+78746.*,address,remove_substring,hub_address,active,32,blocklist_candidates_v2,shared by 32 owner names; selected_by=low-coverage
.*1801 S MOPAC EXPY.+78746.*,address,remove_substring,hub_address,active,31,blocklist_candidates_v2,shared by 31 owner names; selected_by=low-coverage
.*2725 BEE CAVES RD.+78746.*,address,remove_substring,hub_address,active,30,blocklist_candidates_v2,shared by 30 owner names; selected_by=low-coverage
.*13423 BLANCO RD.+78216.*,address,remove_substring,hub_address,active,30,blocklist_candidates_v2,shared by 30 owner names; selected_by=low-coverage
.*4808 TIMBERLINE DR.+78746.*,address,remove_substring,hub_address,active,30,blocklist_candidates_v2,shared by 30 owner names; selected_by=low-coverage
